id,icon_svg_url,created_at,updated_at,name,icon_url,category,activity_type_internal_name,has_gps,is_current,has_survey
53,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/horseback_riding.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:45.969+0000,Horseback Riding,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/horseback_riding.png,non-cardiovascular,,True,True,True
112,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/hurling-camogie.svg,2021-06-03T19:15:53.966+0000,2022-06-03T20:06:45.987+0000,Hurling/Camogie,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/hurling-camogie.png,cardiovascular,,False,True,True
88,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/ice_bath.svg,2019-12-17T16:01:33.761+0000,2022-02-14T19:21:05.973+0000,Ice Bath,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/ice_bath.png,restorative,ice-bath,False,True,False
24,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/ice_hockey.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.008+0000,Ice Hockey,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/ice_hockey.png,cardiovascular,,False,True,True
102,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/rollerblading.svg,2021-02-09T20:03:47.195+0000,2022-06-03T20:06:46.025+0000,Inline Skating,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/rollerblading.png,cardiovascular,,True,True,True
98,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/jiu-jitsu.svg,2020-10-01T20:12:02.307+0000,2022-06-03T20:06:46.044+0000,Jiu Jitsu,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/jiu-jitsu.png,non-cardiovascular,,False,True,True
84,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/jumping_rope.svg,2019-08-16T22:50:09.178+0000,2022-06-03T20:06:46.073+0000,Jumping Rope,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/jumping_rope.png,cardiovascular,,False,True,True
55,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/kayaking.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:46.089+0000,Kayaking,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/kayaking.png,cardiovascular,,True,True,True
127,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/kickboxing.svg,2022-04-25T15:02:15.799+0000,2022-06-03T20:06:46.103+0000,Kickboxing,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/kickboxing.png,cardiovascular,,False,True,True
25,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/lacrosse.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.121+0000,Lacrosse,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/lacrosse.png,cardiovascular,,False,True,True
99,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/manual-labor.svg,2020-10-01T20:12:02.307+0000,2022-06-03T20:06:46.154+0000,Manual Labor,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/manual-labor.png,non-cardiovascular,,True,True,True
56,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/martial_arts.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:46.169+0000,Martial Arts,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/martial_arts.png,cardiovascular,,False,True,True
121,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/massage_therapy.svg,2022-04-12T21:41:03.456+0000,2022-04-25T16:29:49.470+0000,Massage Therapy,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/massage_therapy.png,restorative,massage-therapy,False,True,False
70,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/meditation.svg,2015-04-02T15:30:33.814+0000,2022-02-14T19:20:54.230+0000,Meditation,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/meditation.png,restorative,meditation,False,True,False
